ontology_filename,search_query,source,paper_id,title,authors,year,venue,citation_count,abstract,doi,url,is_open_access,fields_of_study,relevance_score,match_type
aec3po.ttl,"""AEC3PO"" ontology",openalex,https://openalex.org/W4393955287,Aec3po: A Knowledge Model for Machine Executable Construction Regulations,"Amna Dridi, Panagiotis Patlakas, Maxime Lefrançois, Thomas Beach, Hradil Petr, Edlira Vakaj",2024,SSRN Electronic Journal,0,,10.2139/ssrn.4784123,https://openalex.org/W4393955287,True,"publication_type:preprint, Executable, Computer science, Software engineering, Programming language, Business",0.08,exact_ontology
bcao.ttl,"""Building Circularity Assessment"" ontology",openalex,https://openalex.org/W3199920919,An Open Data Platform for Early-Stage Building Circularity Assessment,"Lina Morkūnaitė, Fayez Al Naber, Ekaterina Petrova, Kjeld Svidt",2021,VBN Forskningsportal (Aalborg Universitet),1,"The construction industry is a signiϐicant source of pollution and consumer of natural resources. As the damage to the environment is rapidly growing, the criticism towards the linear economy model is increasing. Circular Economy is perceived as an environmentally friendly alternative. However, Circular Economy implementation in the industry is still in its infancy. Researchers agree that the early design phase plays a signiϐicant role in building circularity, but early-stage circularity assessment is not a common practice. Therefore, this paper investigates the technical needs for early circularity assessment and proposes a novel assessment framework relying on Semantic Web and Linked Building Data technologies. A new Building Circularity Assessment Ontology ȋBCAOȌ is proposed to structure the scattered heterogenous manufacturer product data needed for the assessment. The ontology and the application framework are evaluated in a use case that reveals the potential in guiding the design decisions to more circular alternatives.",,https://openalex.org/W3199920919,True,"publication_type:article, Stage (stratigraphy), Computer science, Geology, Paleontology",0.2823,reuse_application
bcao.ttl,"""building circularity assessment""",openalex,https://openalex.org/W4295653932,Bridging the gap – A database tool for BIM-based circularity assessment,"Verena Göswein, S Carvalho, A Lorena, Joana Fernandes, Paulo Ferrão",2022,IOP Conference Series Earth and Environmental Science,15,"Abstract The concept of circular economy attracts attention across sectors. Since construction materials are the single largest material stock and flow, there is a particular interest from research and policy to apply the circularity concept to buildings. Large quantities of construction and demolition waste end up in landfill, despite new EU legislation that requires a 70% recovery rate. There is a gap between this ambitious goal and the reality of the construction industry. Building Information Modelling (BIM) has the potential to improve building design and construction processes for an increased recovery of materials. However, insufficient data, inconsistent methods and interoperability issues inhibit BIM application to unfold its full potential in circularity assessments. This paper introduces the CirBIM database framework. It provides BIM users with the required robust data to improve the circularity throughout the building’s life cycle: from the design phase throughout renovation activities to the end-of-life stage. The paper proposes a new workflow of building circularity assessment, describe the architecture of the new database tool, and recommends relevant data sources and information models to streamline data mining processes. The new database tool is exemplified through application to a case study building in Portugal, emphasizing the need for different metrics and the need of integration of the end-of-life scenarios in the building design stage.",10.1088/1755-1315/1078/1/012099,https://openalex.org/W4295653932,True,"publication_type:article, Building information modeling, Workflow, Interoperability, Demolition, Architecture",0.2688,reuse_application
bcao.ttl,"""building circularity assessment""",openalex,https://openalex.org/W3211970584,"Building Circularity Assessment in the Architecture, Engineering, and Construction Industry: A New Framework","Nuo Zhang, Qi Han, Bauke de Vries",2021,Sustainability,65,"Circular Economy (CE) has proved its contribution to addressing environmental impacts in the Architecture, Engineering, and Construction (AEC) industries. Building Circularity (BC) assessment methods have been developed to measure the circularity of building projects. However, there still exists ambiguity and inconsistency in these methods. Based on the reviewed literature, this study proposes a new framework for BC assessment, including a material flow model, a Material Passport (MP), and a BC calculation method. The material flow model redefines the concept of BC assessment, containing three circularity cycles and five indicators. The BC MP defines the data needed for the assessment, and the BC calculation method provides the equations for building circularity scoring. The proposed framework offers a comprehensive basis to support a coherent and consistent implementation of CE in the AEC industry.",10.3390/su132212466,https://openalex.org/W3211970584,True,"publication_type:article, Architecture, Ambiguity, Measure (data warehouse), Construction industry, Computer science",0.2571,reuse_application
bcfowl.ttl,"""bcfOWL"" ""BIM collaboration""",openalex,https://openalex.org/W3200842977,bcfOWL: A BIM collaboration ontology,"Jyrki Oraskari, O. Schulz, Jakob Beetz",2021,,2,,,https://openalex.org/W3200842977,False,"publication_type:article, Ontology, Computer science, Knowledge management, World Wide Web, Epistemology",0.32,ontology_family
bcfowl.ttl,"""Ontology Assisted Collaboration Sessions"" ""4D BIM""",openalex,https://openalex.org/W3003366845,Ontology Assisted Collaboration Sessions on 4D BIM,"Calin Boje, Veronika Bolshakova, Annie Guerriero, S Kubicki, Gilles Halin",2019,Proceedings of the Creative Construction Conference 2019,7,"Stakeholders use 4D modelling during construction to coordinate project data and collaborate effectively. The collaborative sessions between project stakeholders have a complex dynamic. This research was conducted under the scope of the 4DCollab project, which aims to improve 4D BIM supported Synchronous Collaboration Sessions (SCS) by adopting a user-centric approach, whilst considering specific 4D use-case information requirements. Following several experimental SCS, an initial ontology model was developed. This model offers a holistic view of the dynamics between the following main concepts: the meeting itself (session), its participants (users), the 4D BIM model and the collaboration devices used for decision-making. Several existing schemas within the BIM domain were identified and considered for the definition of the proposed ontology, re-using several already validated concepts. The 4DCollab ontology is introduced following a rigorous design methodology. Its applications, limitations and future work are also outlined and discussed.",10.3311/ccc2019-081,https://openalex.org/W3003366845,True,"publication_type:article, Ontology, Computer science, Scope (computer science), Session (web analytics), Building information modeling",0.266,reuse_application
beo.ttl,"""Building Element Ontology"" ontology",openalex,https://openalex.org/W4311171153,Enabling building digital twin: Ontology-based information management framework for multi-source data integration,"Xiang Xie, Nicola Moretti, Jorge Merino, Janet Chang, Pieter Pauwels, Ajith Kumar Parlikad",2022,IOP Conference Series Earth and Environmental Science,11,"Abstract The emergence of the digital twin concept can potentially change the way people manage built assets thoroughly. This is because the semantics-based model and linked data approach behind the digital twin, as the successor of classical BIM, provide strong capability in integrating data from fragmented and heterogeneous sources and thus enable better-informed decision-making. Taking buildings as the case, this paper demonstrates the ontology-based Information Management Framework and elaborates on the process to integrate data through a common data model. Specifically, the Foundation Data Model (FDM) representing the operation of buildings and embedded systems is developed and two patterns of integration architecture are compared. To conceptualise all the essential entities and relationships, the building topology ontology and BRICK ontology are reused and merged to serve as a feasible FDM. According to the characteristic of asset management services that digital twins support, two integration architectures are compared, including the data warehouse approach and the mediator approach. A case study is presented to elaborate on the implementation of these two approaches and their applicability. This work sets out the standardised and modularised paradigms for discovering, fetching, and integrating data from disparate sources with different data curation manners.",10.1088/1755-1315/1101/9/092010,https://openalex.org/W4311171153,True,"publication_type:article, Computer science, Ontology, Data warehouse, Data integration, Ontology-based data integration",0.2582,reuse_application
bop.ttl,"""Building Performance Ontology"" ontology",openalex,https://openalex.org/W4297147174,Semantic Web Technologies for Indoor Environmental Quality: A Review and Ontology Design,"Alex Donkers, Dujuan Yang, Bauke de Vries, Nico Baken",2022,Buildings,43,"Indoor environmental quality (IEQ) affects occupants’ satisfaction, health, productivity, comfort, and well-being. IoT developments enable better monitoring of IEQ parameters; however, integrating the various types of heterogeneous data from both the IoT and BIM domains is cumbersome and capital intensive, and therefore, limits the potential of smart buildings. Semantic web technologies can reduce heterogeneity issues, which is necessary to facilitate complex IEQ models. An ontology integrating data related to a building’s topology and its static and dynamic properties is still lacking. The outline of this research is twofold. First, a systematic literature review was conducted to find state-of-the-art semantic web technologies related to building topology, static properties, and dynamic properties from the IoT and BIM domains. By graphically reviewing various ontologies, their valuable patterns, commonalities, and best practices were revealed. Secondly, those results were used to develop a new ontology that integrates topological building information with static and dynamic properties. This Building Performance Ontology (BOP) provides a generic upper-level description of properties and two lower-level ontologies representing observations and actuation. The ontology results in intuitive queries and is both horizontally and vertically extensible. Multiple levels of detail are introduced to ensure practical applicability and efficient patterns based on the data modeler’s needs. BOP opens up a new range of research opportunities in the IEQ domain.",10.3390/buildings12101522,https://openalex.org/W4297147174,True,"publication_type:review, Ontology, Computer science, Semantic Web, Building information modeling, Ontology-based data integration",0.2351,exact_ontology
bot.ttl,"""Building Topology Ontology"" BOT",openalex,https://openalex.org/W3089558719,BOT: The building topology ontology of the W3C linked building data group,"Mads Holten Rasmussen, Maxime Lefrançois, Georg Ferdinand Schneider, Pieter Pauwels",2020,Semantic Web,230,"Actors in the Architecture, Engineering, Construction, Owner and Operation (AECOO) industry traditionally exchange building models as files. The Building Information Modelling (BIM) methodology advocates the seamless exchange of all information between related stakeholders using digital technologies. The ultimate evolution of the methodology, BIM Maturity Level 3, envisions interoperable, distributed, web-based, interdisciplinary information exchange among stakeholders across the life-cycle of buildings. The World Wide Web Consortium Linked Building Data Community Group (W3C LBD-CG) hypothesises that the Linked Data models and best practices can be leveraged to achieve this vision in modern web-based applications. In this paper, we introduce the Building Topology Ontology (BOT) as a core vocabulary to this approach. It provides a high-level description of the topology of buildings including storeys and spaces, the building elements they contain, and their web-friendly 3D models. We describe how existing applications produce and consume datasets combining BOT with other ontologies that describe product catalogues, sensor observations, or Internet of Things (IoT) devices effectively implementing BIM Maturity Level 3. We evaluate our approach by exporting and querying three real-life large building models.",10.3233/sw-200385,https://openalex.org/W3089558719,True,"publication_type:article, Interoperability, Building information modeling, Computer science, Linked data, Ontology",0.3698,exact_ontology
bot.ttl,"""Building Topology Ontology"" BOT",openalex,https://openalex.org/W2768407592,Recent changes in the Building Topology Ontology,"Mads Holten Rasmussen, Pieter Pauwels, Maxime Lefrançois, Georg Ferdinand Schneider, Christian Anker Hviid, Jan Karlshøj",2017,Ghent University Academic Bibliography (Ghent University),21,"The Building Topology Ontology (BOT) was in early 2017 suggested to the W3C community group for Linked Building Data as a simple ontology covering the core concepts of a building. Since it was first announced it has been extended to cover a building site, elements hosted by other elements, zones as a super-class of spaces, storeys, buildings and sites, interfaces between adjacent zones/elements, a transitive property to infer implicit relationships between building zone siblings among other refinements. In this paper, we describe in detail the changes and the reasons for implementing them.",10.13140/rg.2.2.32365.28647,https://openalex.org/W2768407592,True,"publication_type:article, Ontology, Topology (electrical circuits), Computer science, Mathematics, Combinatorics",0.3682,exact_ontology
