ontology_filename,search_query,results_returned,avg_title_keyword_overlap,avg_abstract_keyword_overlap,max_title_overlap,doi_direct_hit,avg_citation_count,median_year,cs_engineering_ratio,open_access_ratio
aec3po.ttl,"""AEC3PO"" ontology",1,0.1,0.0,0.1,False,0,2024,0.0,1.0
aic.ttl,"""Agents in Construction (AiC) Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
ao.ttl,"""Annotations Ontology"" renovation building",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
aoi.ttl,"""Areas of Interests"" component damages",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
asbingowl.ttl,"""ASB-ING Ontology"" infrastructure inspection",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
bao.ttl,"""Building Assessment Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
bcao.ttl,"""Building Circularity Assessment"" ontology",3,0.2136,0.0354,0.2727,False,27,2021,0.0,1.0
bcfowl.ttl,"""bcfOWL"" ""BIM collaboration""",2,0.425,0.02,0.6,False,4.5,2020,0.0,0.5
bem-reno.ttl,"""BEM-Reno"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
beo.ttl,"""Building Element Ontology"" ontology",1,0.1333,0.0163,0.1333,False,11,2022,0.0,1.0
bm.ttl,"""BIMERR Metadata ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
bop.ttl,"""Building Performance Ontology"" ontology",1,0.0714,0.0217,0.0714,False,43,2022,0.0,1.0
bot.ttl,"""Building Topology Ontology"" BOT",8,0.146,0.0366,0.4,True,38.9,2020,0.0,0.625
bpo.ttl,"""Building Product Ontology""",2,0.4018,0.0238,0.4286,False,32,2020,0.0,0.0
brick.ttl,"""Brick"" ""smart building"" ontology",10,0.2024,0.0306,0.3333,False,52.2,2021,0.0,0.8
brot.ttl,"""Bridge Topology Ontology"" ontology",1,0.1111,0.023,0.1111,False,2,2024,0.0,1.0
building.ttl,"""BIMERR"" building ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
cdc.ttl,"""Construction Dataset Context"" ontology",1,0.0625,0.0256,0.0625,False,17,2023,0.0,1.0
ci.ttl,"""The Cost Item (CI) Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
contax.ttl,"""ConTax ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
cr.ttl,"""The Construction Resources (CR) Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
cterm.ttl,"""The Construction Terminology (CTERM) Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
cto.ttl,"""CTO: Construction Tasks Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dano.ttl,"""Drawing Analyis Ontology (DAnO)"" ontology",1,0.0909,0.0273,0.0909,False,4,2025,0.0,1.0
db.ttl,"""Digital Buildings"" ontology",1,0.3333,0.0,0.3333,False,2,2020,0.0,0.0
dica.ttl,"""Digital Construction Agents"" ontology",6,0.2112,0.0298,0.3333,False,66,2022,0.0,1.0
dicc.ttl,"""Digital Construction Contexts"" ontology",1,0.3333,0.0292,0.3333,False,104,2021,0.0,1.0
