filename,title,prefix,namespace_uri,description,parse_success,metadata_completeness_pct,class_count,property_count,axiom_count,annotation_coverage_pct,comment_coverage_pct,has_license,has_version,has_creators,has_embedded_doi,paper_count,top_paper_titles,top_paper_urls,paper_match_types,web_result_count,top_web_titles,top_web_urls,web_result_types
aec3po,AEC3PO,aec3po,https://w3id.org/lbd/aec3po/,"The Architecture, Engineering, Construction, Compliance Checking and Permitting Ontology (AEC3PO) is an ontology developed to support the automated compliance checking of construction, renovation, and demolition works. It has been developed in the context of the Automated Compliance Checking for Construction, Renovation or Demolition Works (ACCORD) project, an ERC/Horizon-funded project that aims to digitalise permitting and compliance processes.",True,61.5,1,2,0,100.0,0.0,False,False,True,False,2,Human-in-the-loop semantic middleware for construction compliance checking and safe product reuse | Aec3po: A Knowledge Model for Machine Executable Construction Regulations,https://openalex.org/W4416935026 | https://openalex.org/W4393955287,exact_ontology:2,8,"AEC3PO | AEC3PO Ontology Documentation | AEC3PO: document | AEC3PO: evidence | AEC3PO: Architecture, Engineering, Construction Compliance Checking and Permitting Ontology – Ontologies Catalogue",https://w3id.org/lbd/aec3po/ | https://accordproject.eu/aec3po/ | https://ci.mines-stetienne.fr/aec3po/document | https://ci.mines-stetienne.fr/aec3po/ | https://ci.mines-stetienne.fr/aec3po/evidence,"documentation:1, github_repo:1, official_namespace:1, other:5"
aic,Agents in Construction (AiC) Ontology,aic,https://w3id.org/aic#,"The Agents in Construction (AiC) ontology is a lightweight semantic model for coordinating on-site production in construction. It represents construction agents (human workers, robots, and other autonomous hardware) and their state as they operate on a site: the processes they carry out, the elements they modify, the resources they handle, and the operational modes and metrics used to assess their performance and impact. To express how agents' operations evolve over time, AiC introduces meta-properties that specify when a statement holds (at an instant or over an interval), what dimension of information it represents (planned, simulated, or performed), and who generated it. The ontology emphasizes generic, trade-agnostic concepts to ensure broad applicability across project types and delivery methods.",True,76.9,25,42,0,100.0,0.0,True,True,True,False,1,Aic: an industrial knowledge graph with Abstraction-Instance-Capability reasoning abilities for personalized customization,https://openalex.org/W4387221531,exact_ontology:1,2,Agents in Construction (AiC) Ontology,https://w3id.org/aic# | https://digiconstructlab-tu-delft.github.io/AiC-Ontology/,"documentation:1, official_namespace:1"
ao,Annotations Ontology,ao,http://bimerr.iot.linkeddata.es/def/annotation-objects#,"The Annotation Objects ontology aims to represent the annotations produced during the development of a building renovation project. These annotations serve to inform about issues or missing information that could be relevant for the project, such as indicating that a building element is missing in the BIM model.",True,76.9,6,30,0,100.0,0.0,True,True,True,False,0,,,,3,Annotations Ontology | GitHub - oeg-upm/bimerr-annotation-objects: BIMERR ontology for Annotated Information Objects domain,http://bimerr.iot.linkeddata.es/def/annotation-objects# | https://github.com/oeg-upm/bimerr-annotation-objects | https://bimerr.iot.linkeddata.es/def/annotation-objects/,"documentation:2, github_repo:1"
aoi,Areas of Interests,aoi,https://w3id.org/aoi#,"The ontology for Areas of Interest (AOI) is an auxiliary ontology that semantically describes areas on a component which contain other subcomponents or objects. This is especially useful for the semantic localization of affecting damages(defined in DOT). The concept of AOI aims for extending current web ontologies that are formalized in OWL without significantly changing their proposed modelling concepts. Instead, the AOI ontology provides an additional modelling option, which enhances the extended ontologies with a function to locate objects that are topologically connected.",True,76.9,14,4,0,100.0,0.0,True,True,True,True,0,,,,1,Areas of Interests,https://w3id.org/aoi#,official_namespace:1
asb,ASB-ING Ontology,asb,https://w3id.org/asbingowl/core#,the ”ASBING” - the German standard data model to describe infrastructural artefacts in many use cases. It supports semantic description of infrastructure elements especially bridges enabling standardised documentation of inspections conditions and quality information across diverse infrastructure management and assessment use cases within public asset maintenance planning monitoring reporting and decision making contexts.,True,69.2,460,901,0,23.9,0.0,True,False,True,False,0,,,,2,ASB-ING Ontology,https://w3id.org/asbingowl/core# | https://annegoebels.github.io/asb/core/,"documentation:1, official_namespace:1"
bao,Building Assessment Ontology,bao,https://alexdonkers.github.io/bao#,"The Building Assessment Ontology is a consice ontology, developed to semantically describe standards, building codes, certification schemes and regulations in the AEC industry. It's aim is to make the integration of such schemes with the actual building easier, to automate the performance evaluation of buildings. The ontology could describe both simple assessment criteria and complex algorithms with multiple parameters. The ontology has been developed based on common certification schemes related to building performance (including LEED v4.1 O+M, BREEAM In-Use, WELL v2, Green Star - Performance, Energy Star, Green Globes EB and BOMA BEST Sustainable Buildings 3.0)",True,69.2,15,36,0,100.0,0.0,False,True,True,False,0,,,,1,Building Assessment Ontology,https://alexdonkers.github.io/bao#,documentation:1
bcao,Building Circularity Assessment Ontology,bcao,https://github.com/linmor-sys/BCAO.owl#,Structures manufacturer product data needed for the circularity assessment at the early design phase.,True,46.2,41,34,0,0.0,0.0,False,False,False,False,1,An Open Data Platform for Early-Stage Building Circularity Assessment,https://openalex.org/W3199920919,exact_ontology:1,1,Building Circularity Assessment Ontology,https://github.com/linmor-sys/BCAO.owl#,github_repo:1
bcfowl,BIM collaboration Format Ontology,bcfowl,http://lbd.arch.rwth-aachen.de/bcfOWL_V1/index-en.html,Ontology for the BCF standard. It models coordination information such as issues viewpoints and comments enabling interoperable exchange of BIM collaboration data across software tools and project stakeholders.,True,76.9,37,56,0,100.0,0.0,True,True,True,False,0,,,,5,BIM collaboration Format Ontology | (PDF) bcfOWL: A BIM collaboration ontology - ResearchGate | bcfOWL: A BIM collaboration ontology - CEUR-WS.org | bcfOWL: A BIM collaboration ontology - Aalto University's research...,http://lbd.arch.rwth-aachen.de/bcfOWL_V1/index-en.html | https://akswnc7.informatik.uni-leipzig.de/dstreitmatter/archivo/lbd.arch.rwth-aachen.de/bcfOWL/2021.04.25-234916/bcfOWL_type=generatedDocu.html | https://www.researchgate.net/publication/355376779_bcfOWL_A_BIM_collaboration_ontology | https://ceur-ws.org/Vol-3081/12paper.pdf | https://research.aalto.fi/en/publications/bcfowl-a-bim-collaboration-ontology,"documentation:1, other:2, paper:2"
bem-reno,BEM-Reno Ontology,bem-reno,,"An ontology for BEM development in renovation projects. The BEM-Reno ontology was developed to represent concepts related to the building energy model of a building under renovation, the goal is to support the development of BEM models with the sufficient information required to perform building energy analysis in the context of renovation projects, especially to support the manual tasks that make part of BIMtoBEM approaches. The ontology covers concepts and relations regarding the existing conditions of the building, material features, building systems, operational schedules, and thermal characteristics.",True,69.2,191,78,0,0.0,0.0,True,True,True,False,1,BIM-SPEED D2.2 BIM Family ontologies,https://openalex.org/W3104325257,exact_ontology:1,0,,,
beo,Building Element Ontology,beo,https://pi.pauwel.be/voc/buildingelement#,"The Building Element Ontology provides an ontology based on the IfcBuildingElement subtree in the IFC specification, containing a taxonomy of classes that allow to define common building elements.",True,76.9,186,1,0,100.0,0.0,True,True,True,False,0,,,,2,Building Element Ontology,https://pi.pauwel.be/voc/buildingelement# | https://pi.pauwel.be/voc/buildingelement/index-en.html,other:2
