filename,title,prefix,namespace_uri,description,version,license,creators,date_modified,date_issued,see_also,imports,classes,properties,primary_domain,secondary_domain,cluster,conforms_to
aec3po.ttl,AEC3PO,aec3po,https://w3id.org/lbd/aec3po/,"The Architecture, Engineering, Construction, Compliance Checking and Permitting Ontology (AEC3PO) is an ontology developed to support the automated compliance checking of construction, renovation, and demolition works. It has been developed in the context of the Automated Compliance Checking for Construction, Renovation or Demolition Works (ACCORD) project, an ERC/Horizon-funded project that aims to digitalise permitting and compliance processes.",,,"https://w3id.org/lbd/aec3po/edlira, https://w3id.org/lbd/aec3po/pan",,2025-04-22,https://ci.mines-stetienne.fr/aec3po/,"cc, dct, ns1, prov, schema1, skos, vann",,,Planning Permission,,,
aic.ttl,Agents in Construction (AiC) Ontology,aic,https://w3id.org/aic#,"The Agents in Construction (AiC) ontology is a lightweight semantic model for coordinating on-site production in construction. It represents construction agents (human workers, robots, and other autonomous hardware) and their state as they operate on a site: the processes they carry out, the elements they modify, the resources they handle, and the operational modes and metrics used to assess their performance and impact. To express how agents' operations evolve over time, AiC introduces meta-properties that specify when a statement holds (at an instant or over an interval), what dimension of information it represents (planned, simulated, or performed), and who generated it. The ontology emphasizes generic, trade-agnostic concepts to ensure broad applicability across project types and delivery methods.",1.1.0,https://creativecommons.org/licenses/by/4.0/,"Irfan Čustović, Jianpeng Cao, Ranjith Soman",,2026-06-20,https://digiconstructlab-tu-delft.github.io/AiC-Ontology/,"dcterms, vann, beo, bot, csite, cto, dica, dice, dicm, dicp, dtc, ioc, nen2660",,,Production (Process),,,
ao.ttl,Annotations Ontology,ao,http://bimerr.iot.linkeddata.es/def/annotation-objects#,"The Annotation Objects ontology aims to represent the annotations produced during the development of a building renovation project. These annotations serve to inform about issues or missing information that could be relevant for the project, such as indicating that a building element is missing in the BIM model.",0.0.2,CC BY 4.0,"María Poveda-Villalón, Serge Chávez-Feria, http://www.oeg-upm.net/",,2020,https://bimerr.iot.linkeddata.es/,"dc, vann, building, io, kpi",,,Information Management,,BIMERR,
aoi.ttl,Areas of Interests,aoi,https://w3id.org/aoi#,"The ontology for Areas of Interest (AOI) is an auxiliary ontology that semantically describes areas on a component which contain other subcomponents or objects. This is especially useful for the semantic localization of affecting damages(defined in DOT). The concept of AOI aims for extending current web ontologies that are formalized in OWL without significantly changing their proposed modelling concepts. Instead, the AOI ontology provides an additional modelling option, which enhances the extended ontologies with a function to locate objects that are topologically connected.",0.2,https://creativecommons.org/licenses/by/1.0,n58a9afe097114a0c863ca8ba95224fd8b1,,2021,http://dx.doi.org/10.13140/RG.2.2.32606.97607,"foaf, vann, dcterms, dot",,,BE Product (Building),,,
asbingowl.ttl,ASB-ING Ontology,asb,https://w3id.org/asbingowl/core#,the ”ASBING” - the German standard data model to describe infrastructural artefacts in many use cases. It supports semantic description of infrastructure elements especially bridges enabling standardised documentation of inspections conditions and quality information across diverse infrastructure management and assessment use cases within public asset maintenance planning monitoring reporting and decision making contexts.,,https://creativecommons.org/licenses/by/4.0,nb54696d7e2d64406b6802d74451d2597b1,,2022,https://publications.rwth-aachen.de/record/824017/files/824017.pdf,"dcterms, vann, foaf",,,BE Product (Infrastructure),Quality,,
bao.ttl,Building Assessment Ontology,bao,https://alexdonkers.github.io/bao#,"The Building Assessment Ontology is a consice ontology, developed to semantically describe standards, building codes, certification schemes and regulations in the AEC industry. It's aim is to make the integration of such schemes with the actual building easier, to automate the performance evaluation of buildings. The ontology could describe both simple assessment criteria and complex algorithms with multiple parameters. The ontology has been developed based on common certification schemes related to building performance (including LEED v4.1 O+M, BREEAM In-Use, WELL v2, Green Star - Performance, Energy Star, Green Globes EB and BOMA BEST Sustainable Buildings 3.0)",1.0,,https://orcid.org/0000-0002-8809-3277,,2021,https://alexdonkers.github.io/bao/,"dcterms, vann, skos, foaf",,,"Standards, Codes and Certifications",,,
bcao.ttl,Building Circularity Assessment Ontology,bcao,https://github.com/linmor-sys/BCAO.owl#,Structures manufacturer product data needed for the circularity assessment at the early design phase.,,,,,2021,https://github.com/linmor-sys/BCAO,,,,Circular Economy,,,"ISO/CEN 23386, ISO/CEN 23387"
bcfowl.ttl,BIM collaboration Format Ontology,bcfowl,http://lbd.arch.rwth-aachen.de/bcfOWL_V1/index-en.html,Ontology for the BCF standard. It models coordination information such as issues viewpoints and comments enabling interoperable exchange of BIM collaboration data across software tools and project stakeholders.,0.7.0,https://creativecommons.org/licenses/by/4.0/,"Jakob Beetz, Jyrki Oraskai, Oliver Schulz",,2022,https://linkedbuildingdata.net/ldac2021/files/papers/CIB_W78_2021_paper_122.pdf,"ifc, foaf, vann, dcterms, bot, geosparql",,,Information Management,,,BCF
bem-reno.ttl,BEM-Reno Ontology,bem-reno,,"An ontology for BEM development in renovation projects. The BEM-Reno ontology was developed to represent concepts related to the building energy model of a building under renovation, the goal is to support the development of BEM models with the sufficient information required to perform building energy analysis in the context of renovation projects, especially to support the manual tasks that make part of BIMtoBEM approaches. The ontology covers concepts and relations regarding the existing conditions of the building, material features, building systems, operational schedules, and thermal characteristics.",0.1.1,GPL 3.0,bim-speed/Jerson Pinzon,,2020-10-31T12:00:00,https://depositonce.tu-berlin.de/handle/11303/11740.2,terms,,,Energy,,,
beo.ttl,Building Element Ontology,beo,https://pi.pauwel.be/voc/buildingelement#,"The Building Element Ontology provides an ontology based on the IfcBuildingElement subtree in the IFC specification, containing a taxonomy of classes that allow to define common building elements.",December 27th 2018,https://creativecommons.org/licenses/by/1.0/,n6c01a1e771484c139a158e69f91dca1db1,,2018-12-27,https://pi.pauwel.be/voc/buildingelement,"dc, dcterms, gr, vann, voaf, vs, foaf, schema",,,BE Product (Building),,,
bm.ttl,BIMERR Metadata ontology,bm,https://bimerr.iot.linkeddata.es/def/metadata/,Ontology module that includes the medata and annotation terms needed in the BIMERR project. It supports structured description of datasets documents and ontology elements enabling consistent annotation governance and information management across renovation related data resources.,0.0.1,http://purl.org/NET/rdflicense/cc-by4.0,"María Poveda-Villalón, Serge Chávez-Feria, http://www.oeg-upm.net/",,2020,https://bimerr.iot.linkeddata.es/,"dc, dcterms, vann, skos",,,Information Management,,BIMERR,
