filename,fields_total,fields_filled,completeness_pct,parse_success,parse_error,class_count,property_count,axiom_count,annotation_coverage_pct,comment_coverage_pct,import_count,language_count,has_title,has_namespace_uri,has_description,has_license,has_version,has_creators,data_property_count,object_property_count,annotation_score,foops_score,alignment_score,accessibility_score,quality_score,has_documentation,has_serialization,has_conceptual_model
aec3po,13,8,61.5,True,,1,2,0,100.0,0.0,7,0,True,True,True,False,False,True,2,0,100.0,0.67,1.0,3.0,2.0,True,True,True
aic,13,10,76.9,True,,25,42,0,100.0,0.0,2,0,True,True,True,True,True,True,6,36,100.0,0.8,1.0,3.0,2.0,True,True,True
ao,13,10,76.9,True,,6,30,0,100.0,0.0,5,0,True,True,True,True,True,True,21,9,100.0,0.15,2.0,3.0,2.0,True,True,True
aoi,13,10,76.9,True,,14,4,0,100.0,0.0,4,0,True,True,True,True,True,True,0,4,100.0,0.7,2.0,3.0,2.0,True,True,True
asb,13,9,69.2,True,,460,901,0,23.9,0.0,3,0,True,True,True,True,False,True,352,549,23.9,0.66,1.0,3.0,1.2,True,True,True
bao,13,9,69.2,True,,15,36,0,100.0,0.0,4,0,True,True,True,False,True,True,4,32,100.0,0.15,1.0,3.0,2.0,True,True,True
bcao,13,6,46.2,True,,41,34,0,0.0,0.0,0,0,True,True,True,False,False,False,16,18,0.0,0.04,0.0,3.0,1.0,True,True,True
bcfowl,13,10,76.9,True,,37,56,0,100.0,0.0,6,0,True,True,True,True,True,True,25,31,100.0,0.04,3.0,3.0,2.0,True,True,True
bem-reno,13,9,69.2,True,,191,78,0,0.0,0.0,1,0,True,False,True,True,True,True,26,52,0.0,0.0,1.0,2.0,1.0,True,True,True
beo,13,10,76.9,True,,186,1,0,100.0,0.0,8,0,True,True,True,True,True,True,1,0,100.0,0.67,1.0,3.0,2.0,True,True,True
bfp,13,6,46.2,True,,0,0,0,0.0,0.0,5,0,True,False,True,False,False,False,0,0,0.0,0.0,3.0,1.0,1.0,True,False,True
bimdo,13,6,46.2,True,,0,0,0,0.0,0.0,3,0,True,False,True,False,False,False,0,0,0.0,0.0,2.0,1.0,1.0,True,False,True
bimso,13,6,46.2,True,,0,0,0,0.0,0.0,2,0,True,False,True,False,False,False,0,0,0.0,0.0,2.0,1.0,1.0,True,False,True
bm,13,10,76.9,True,,0,0,0,100.0,0.0,4,0,True,True,True,True,True,True,0,0,100.0,0.15,1.0,3.0,2.0,True,True,True
bop,13,10,76.9,True,,19,56,0,98.6,0.0,4,0,True,True,True,True,True,True,6,50,98.6,0.15,1.0,3.0,2.0,True,True,True
bot,13,10,76.9,True,,8,17,0,100.0,0.0,6,0,True,True,True,True,True,True,1,16,100.0,0.78,1.0,3.0,2.0,True,True,True
bpo,13,10,76.9,True,,18,23,0,100.0,0.0,7,0,True,True,True,True,True,True,5,18,100.0,0.66,1.0,3.0,2.0,True,True,True
brick,13,9,69.2,True,,1518,199,0,0.0,0.0,16,0,True,False,True,True,True,True,75,124,0.0,0.0,3.0,2.0,1.0,True,True,True
brot,13,10,76.9,True,,8,9,0,100.0,0.0,4,0,True,True,True,True,True,True,0,9,100.0,0.74,1.0,3.0,2.0,True,True,True
building,13,10,76.9,True,,45,34,0,83.3,0.0,9,0,True,True,True,True,True,True,19,15,83.3,0.15,3.0,3.0,1.8,True,True,True
camo,13,6,46.2,True,,0,0,0,0.0,0.0,1,0,True,False,True,False,False,False,0,0,0.0,0.0,1.0,1.0,1.0,True,False,True
cdc,13,9,69.2,True,,30,18,0,100.0,0.0,9,0,True,True,True,True,True,True,4,14,100.0,0.73,1.0,3.0,2.0,True,True,True
cdo,13,6,46.2,True,,0,0,0,0.0,0.0,6,0,True,False,True,False,False,False,0,0,0.0,0.0,2.0,1.0,1.0,True,False,True
ceo,13,6,46.2,True,,0,0,0,0.0,0.0,1,0,True,False,True,False,False,False,0,0,0.0,0.0,1.0,1.0,1.0,True,False,True
ci,13,10,76.9,True,,68,37,0,0.0,0.0,6,0,True,True,True,True,True,True,13,24,0.0,0.64,2.0,3.0,0.0,False,True,True
conse,13,6,46.2,True,,0,0,0,0.0,0.0,5,0,True,False,True,False,False,False,0,0,0.0,0.0,3.0,1.0,0.0,False,False,True
contax,13,10,76.9,True,,27,13,0,38.9,0.0,21,0,True,True,True,True,True,True,3,10,38.9,0.71,3.0,2.0,1.4,True,True,False
cr,13,10,76.9,True,,63,59,0,0.0,0.0,7,0,True,True,True,True,True,True,27,32,0.0,0.64,2.0,3.0,0.0,False,True,True
cterm,13,10,76.9,True,,101,30,0,0.0,0.0,6,0,True,True,True,True,True,True,8,22,0.0,0.62,2.0,3.0,0.0,False,True,True
cto,13,10,76.9,True,,12,9,0,81.0,0.0,9,0,True,True,True,True,True,True,1,8,81.0,0.71,3.0,3.0,1.8,True,True,True
dano,13,10,76.9,True,,16,20,0,94.1,0.0,6,0,True,True,True,True,True,True,7,13,94.1,0.79,2.0,3.0,1.9,True,True,True
db,13,8,61.5,True,,2043,7,0,67.1,0.0,3,0,True,False,True,True,True,False,1,6,67.1,0.0,1.0,2.0,1.7,True,True,True
dica,13,10,76.9,True,,38,36,0,49.2,0.0,5,0,True,True,True,True,True,True,3,33,49.2,0.29,2.0,3.0,1.5,True,True,True
dicc,13,10,76.9,True,,5,19,0,45.8,0.0,3,0,True,True,True,True,True,True,0,19,45.8,0.29,1.0,3.0,1.5,True,True,True
dice,13,10,76.9,True,,147,141,0,64.7,0.0,5,0,True,True,True,True,True,True,18,123,64.7,0.29,2.0,3.0,1.6,True,True,True
dices,13,10,76.9,True,,101,43,0,49.7,0.0,10,0,True,True,True,True,True,True,26,17,49.7,0.29,2.0,3.0,1.5,True,True,True
dici,13,10,76.9,True,,69,69,0,42.8,0.0,8,0,True,True,True,True,True,True,12,57,42.8,0.29,2.0,3.0,1.4,True,True,True
dicl,13,10,76.9,True,,8,21,0,33.3,0.0,7,0,True,True,True,True,True,True,0,21,33.3,0.29,2.0,3.0,1.3,True,True,True
diclvl,13,7,53.8,True,,0,0,0,0.0,0.0,3,0,True,True,True,False,True,True,0,0,0.0,0.29,2.0,3.0,1.0,True,True,True
dicm,13,10,76.9,True,,71,70,0,52.5,0.0,7,0,True,True,True,True,True,True,56,14,52.5,0.29,2.0,3.0,1.5,True,True,True
