ontology_filename,search_query,results_returned,avg_title_keyword_overlap,avg_abstract_keyword_overlap,max_title_overlap,doi_direct_hit,avg_citation_count,median_year,cs_engineering_ratio,open_access_ratio
aec3po,"""AEC3PO"" ontology",2,0.05,0.012,0.1,False,0,2025,0.0,1.0
aic,"""Agents in Construction (AiC) Ontology"" ontology",1,0.0556,0.0,0.0556,False,14,2023,0.0,0.0
ao,"""Annotations Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
aoi,"""Areas of Interests"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
asb,"""ASB-ING Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
bao,"""Building Assessment Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
bcao,"""Building Circularity Assessment Ontology"" ontology",1,0.2727,0.044,0.2727,False,1,2021,0.0,1.0
bcfowl,"""BIM collaboration Format Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
bem-reno,"""BEM-Reno Ontology"" ontology",1,0.0,0.0429,0.0,False,0,2020,0.0,1.0
beo,"""Building Element Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
bfp,"""Building Fire Protection"" ontology",10,0.1388,0.0311,0.25,True,16,2023,0.0,0.7
bimdo,"""BIM design ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
bimso,"""BIM shared ontology"" ontology",2,0.1296,0.0199,0.1538,False,12.5,2022,0.0,0.5
bm,"""BIMERR Metadata ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
bop,"""Building Performance Ontology"" ontology",2,0.2232,0.0254,0.375,False,25,2023,0.0,1.0
bot,"""The Building Topology Ontology (BOT)"" ontology",3,0.2278,0.034,0.5,False,166.7,2018,0.0,1.0
bpo,"""Building Product Ontology"" ontology",2,0.4018,0.0238,0.4286,False,33,2020,0.0,0.0
brick,"""Brick"" ontology",9,0.1051,0.0073,0.5,False,507.7,2009,0.0,0.3333
brot,"""Bridge Topology Ontology"" ontology",1,0.1111,0.023,0.1111,False,2,2024,0.0,1.0
building,"""Building Ontology"" ontology",7,0.1401,0.0221,0.2,False,342.7,1999,0.0,0.8571
camo,"""Circular Materials and Activities Ontologies"" ontology",6,0.1025,0.032,0.1538,False,8.8,2022,0.0,0.6667
cdc,"""CDC: Construction Dataset Context ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
cdo,"""Concrete Damage Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
ceo,"""Circular Exchange Ontology"" ontology",3,0.1037,0.0201,0.2,False,6.7,2024,0.0,1.0
ci,"""The Cost Item (CI) Ontology"" ontology",1,0.0526,0.0,0.0526,True,1,2025,0.0,0.0
conse,"""Construction Semantic Enrichment Ontology"" ontology",2,0.2667,0.036,0.2667,True,8,2023,0.0,1.0
contax,"""ConTax ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
cr,"""The Construction Resources (CR) Ontology"" ontology",1,0.0526,0.0,0.0526,True,1,2025,0.0,0.0
cterm,"""The Construction Terminology (CTERM) Ontology"" ontology",1,0.0526,0.0,0.0526,True,1,2025,0.0,0.0
cto,"""CTO: Construction Tasks Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dano,"""Drawing Analyis Ontology (DAnO)"" ontology",1,0.0909,0.0273,0.0909,True,6,2025,0.0,1.0
db,"""Digital Buildings"" ontology",1,0.0,0.0132,0.0,False,117,2021,0.0,1.0
dica,"""Digital Construction Agents"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dicc,"""Digital Construction Contexts"" ontology",1,0.3333,0.0292,0.3333,False,109,2021,0.0,1.0
dice,"""Digital Construction Entities"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dices,"""Digital Construction Energy"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dici,"""Digital Construction Information"" ontology",1,0.25,0.0292,0.25,False,5,2023,0.0,1.0
dicl,"""Digital Construction Lifecycle"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
diclvl,"""A vocabulary for LOD levels"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dicm,"""Digital Construction Materials"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dicob,"""Digital Construction Occupancy"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dicp,"""Digital Construction Processes"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dicstg,"""A vocabulary for BLCS stages"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dicu,"""Digital Construction Units"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dicv,"""Digital Construction Variables"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dmo,"""Damage Mechanics Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
do,"""Defect Ontology"" ontology",2,0.0697,0.0154,0.0769,True,61,2019,0.0,0.5
dogont,"""DogOnt: Ontology Modeling for Intelligent Domotic Environments"" ontology",1,1.0,0.0,1.0,False,249,2008,0.0,1.0
dor,"""Decommissioning and Reuse Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dot,"""Damage Topology Ontology"" ontology",2,0.068,0.025,0.0833,False,15.5,2021,0.0,1.0
dstv,"""DSTV:Steel Construction Ontology"" ontology",0,0.0,0.0,0.0,False,0.0,0,0.0,0.0
dtc,"""Digital Twin Construction Ontology"" ontology",4,0.3441,0.0259,0.4444,False,9.2,2025,0.25,1.0
ec,"""ECO - Eurocode Core Ontology"" ontology",1,0.25,0.0,0.25,True,0,2026,0.0,0.0
