ontology_filename,search_query,results_returned,avg_title_keyword_overlap,avg_snippet_keyword_overlap,unique_domains,github_result_count,academic_result_count
aec3po.ttl,"""AEC3PO"" ontology",5,0.3222222222222222,0.09644945697577276,5,1,1
aic.ttl,"""Agents in Construction (AiC) Ontology"" ontology",1,1.0,0.14285714285714285,1,0,0
ao.ttl,"""Annotations Ontology"" renovation building",3,0.35714285714285715,0.10243612596553774,2,1,0
aoi.ttl,"""Areas of Interests"" component damages",1,0.6,0.2631578947368421,1,0,0
asbingowl.ttl,"""ASB-ING Ontology"" infrastructure inspection",1,0.6,0.1724137931034483,1,0,0
bao.ttl,"""Building Assessment Ontology"" ontology",1,1.0,0.08823529411764706,1,0,0
bcao.ttl,"""Building Circularity Assessment"" ontology",1,0.0,0.25,1,1,0
bcfowl.ttl,"""bcfOWL"" ""BIM collaboration""",5,0.32166666666666666,0.12558823529411764,4,0,1
bem-reno.ttl,"""BEM-Reno"" ontology",1,1.0,0.08108108108108109,1,0,0
beo.ttl,"""Building Element Ontology"" ontology",1,1.0,0.125,1,0,0
bm.ttl,"""BIMERR Metadata ontology"" ontology",2,0.6666666666666666,0.15476190476190477,2,1,0
bop.ttl,"""Building Performance Ontology"" ontology",1,1.0,0.08823529411764706,1,0,0
bot.ttl,"""Building Topology Ontology"" BOT",1,0.8,0.16,1,0,0
bpo.ttl,"""Building Product Ontology""",1,1.0,0.08823529411764706,1,0,0
brick.ttl,"""Brick"" ""smart building"" ontology",10,0.22846070596070595,0.09464417542485565,8,0,2
brot.ttl,"""Bridge Topology Ontology"" ontology",1,1.0,0.2727272727272727,1,0,0
building.ttl,"""BIMERR"" building ontology",1,0.6666666666666666,0.21428571428571427,1,0,0
cdc.ttl,"""Construction Dataset Context"" ontology",2,0.8,0.16333333333333333,2,0,0
ci.ttl,"""The Cost Item (CI) Ontology"" ontology",1,1.0,0.18518518518518517,1,0,0
contax.ttl,"""ConTax ontology"" ontology",3,0.4166666666666667,0.15019762845849802,3,1,0
cr.ttl,"""The Construction Resources (CR) Ontology"" ontology",2,1.0,0.164021164021164,2,0,0
cterm.ttl,"""The Construction Terminology (CTERM) Ontology"" ontology",3,0.8148148148148148,0.19560308972073678,3,1,0
cto.ttl,"""CTO: Construction Tasks Ontology"" ontology",3,0.6161616161616161,0.053246753246753244,3,1,0
dano.ttl,"""Drawing Analyis Ontology (DAnO)"" ontology",2,0.8333333333333333,0.0761904761904762,2,0,0
db.ttl,"""Digital Buildings"" ontology",10,0.3858441558441558,0.1309035409035409,7,0,2
dica.ttl,"""Digital Construction Agents"" ontology",2,0.75,0.12222222222222222,2,0,0
dicc.ttl,"""Digital Construction Contexts"" ontology",1,0.75,0.05555555555555555,1,0,0
dice.ttl,"""Digital Construction Entities"" ontology",3,0.5740740740740741,0.1348148148148148,2,0,0
dices.ttl,"""Digital Construction Energy"" ontology",9,0.37757693898044775,0.11814873684584727,9,1,2
dici.ttl,"""Digital Construction Information"" ontology",7,0.4698051948051948,0.14472060506543266,6,0,1
dicl.ttl,"""Digital Construction Lifecycle"" ontology",4,0.39841269841269844,0.18102240896358543,4,0,1
diclvl.ttl,"""A vocabulary for LOD levels"" ontology",2,0.7291666666666667,0.43333333333333335,2,0,0
dicm.ttl,"""Digital Construction Materials"" ontology",6,0.3652116402116402,0.0872053872053872,6,0,1
dicob.ttl,"""Digital Construction Occupancy"" ontology",4,0.375,0.04949944382647386,4,0,0
dicp.ttl,"""Digital Construction Processes"" ontology",2,0.5113636363636364,0.31521739130434784,2,0,1
dicstg.ttl,"""A vocabulary for BLCS stages"" ontology",3,0.46296296296296297,0.40793650793650793,2,0,0
dicu.ttl,"""Digital Construction Units"" ontology",1,0.75,0.14285714285714285,1,0,0
dicv.ttl,"""Digital Construction Variables"" ontology",5,0.29444444444444445,0.07710870534399947,3,1,0
dogont.ttl,"""DogOnt: Ontology Modeling for Intelligent Domotic Environments"" ontology",6,0.6821428571428572,0.24105687340981458,6,0,3
dor.ttl,"""http://www.semanticweb.org/arnak/ontologies/2022/7/DOR""",1,0.1111111111111111,0.0,1,0,0
dot.ttl,"""Damage Topology Ontology"" ontology",1,1.0,0.2,1,0,0
dstv.ttl,"""DSTV:Steel Construction Ontology"" ontology",3,1.0,0.2285714285714286,3,0,0
dtc.ttl,"""Digital Twin Construction Ontology"" ontology",3,0.7037037037037037,0.09343434343434344,1,0,0
eco.ttl,"""ECO - Eurocode Core Ontology"" ontology",2,1.0,0.13095238095238093,2,0,0
eepsa.ttl,"""The EEPSA Ontology."" ontology",1,1.0,0.25,1,0,0
emmo.ttl,"""Elementary Multiperspective Material Ontology (EMMO)"" ontology",4,0.9166666666666667,0.35555555555555557,3,2,0
esair.ttl,"""Este vocabulario extiende la W3C Semantic Sensor Network Ontology"" built environment",1,0.0,0.391304347826087,1,0,0
facility.ttl,"""facility management"" ontology building",10,0.32228327228327225,0.07815454507129134,6,0,7
ffdr.ttl,"""Firefighters' Data Requirements Ontology"" ontology",3,0.42592592592592593,0.033216783216783216,3,1,0
fm-ener.ttl,"""This is a Facility Management Building Energy Ontology"" facility building",1,0.1,0.1951219512195122,1,0,0
fmo.ttl,"""Failure Mechanism Ontology"" ontology",1,1.0,0.2727272727272727,1,0,0
fog.ttl,"""FOG: File Ontology for Geometry formats"" ontology",4,0.7569444444444444,0.08423913043478261,4,1,0
fso.ttl,"""The Flow Systems Ontology (FSO)"" ontology",1,1.0,0.2777777777777778,1,0,0
geosparql.ttl,"""GeoSPARQL Ontology"" ontology",10,0.2781746031746032,0.04381645815233371,9,0,1
gis4reno.ttl,"""http://www.semanticweb.org/ecdf_md/ontologies/2020/4/untitled-ontology-45""",1,0.2727272727272727,0.6470588235294118,1,0,0
hbpo.ttl,"""http://www.semanticweb.org/HBPO""",1,0.2,0.4166666666666667,1,0,0
