filename,fields_total,fields_filled,completeness_pct,parse_success,parse_error,class_count,property_count,axiom_count,annotation_coverage_pct,comment_coverage_pct,import_count,language_count,has_license,has_version,has_creators
aec3po.ttl,15,10,66.7,True,,1,2,152,66.7,66.7,13,1,False,False,True
aic.ttl,15,9,60.0,True,,25,41,368,100.0,93.9,0,1,True,False,True
ao.ttl,15,10,66.7,True,,6,30,310,100.0,100.0,0,1,False,True,True
aoi.ttl,15,9,60.0,True,,14,4,100,100.0,100.0,0,1,True,False,False
asbingowl.ttl,15,9,60.0,True,,460,901,9208,98.6,23.9,0,1,True,False,False
bao.ttl,15,10,66.7,True,,15,36,335,100.0,100.0,0,1,False,True,True
bcao.ttl,15,6,40.0,True,,41,34,431,0.0,0.0,0,0,False,False,False
bcfowl.ttl,15,10,66.7,True,,37,53,746,82.2,82.2,0,1,True,True,True
bem-reno.ttl,15,9,60.0,True,,191,78,1331,0.0,0.0,0,0,False,True,True
beo.ttl,15,11,73.3,True,,186,1,1530,97.3,97.3,0,21,True,True,False
bm.ttl,15,9,60.0,True,,0,0,43,0.0,0.0,0,1,True,True,True
bop.ttl,15,10,66.7,True,,19,56,587,98.7,97.3,0,2,False,True,True
bot.ttl,15,14,93.3,True,,8,17,957,96.0,96.0,0,16,True,True,True
bpo.ttl,15,9,60.0,True,,18,23,382,90.2,90.2,0,1,False,True,False
brick.ttl,15,12,80.0,True,,1518,199,53960,95.2,0.2,5,1,True,True,False
brot.ttl,15,10,66.7,True,,8,9,130,100.0,100.0,0,2,True,False,False
building.ttl,15,9,60.0,True,,45,34,683,100.0,91.1,0,1,True,True,True
cdc.ttl,15,10,66.7,True,,30,18,327,81.2,81.2,0,1,False,True,False
ci.ttl,15,12,80.0,True,,68,37,707,32.4,0.0,1,2,True,True,False
contax.ttl,15,10,66.7,True,,27,13,224,27.5,17.5,0,1,False,True,False
cr.ttl,15,12,80.0,True,,63,57,734,40.8,4.2,1,3,True,True,False
cterm.ttl,15,11,73.3,True,,101,30,3770,80.9,0.0,0,3,True,True,False
cto.ttl,15,10,66.7,True,,12,9,125,81.0,81.0,0,1,False,True,False
dano.ttl,15,12,80.0,True,,16,20,266,100.0,94.4,0,1,True,True,False
db.ttl,15,7,46.7,True,,2043,7,17292,45.3,43.9,0,0,False,True,False
dica.ttl,15,12,80.0,True,,38,36,376,79.7,43.2,1,0,True,False,True
dicc.ttl,15,11,73.3,True,,5,19,124,100.0,45.8,0,0,True,False,True
dice.ttl,15,12,80.0,True,,147,141,1559,72.9,48.3,2,0,True,False,True
dices.ttl,15,12,80.0,True,,101,43,719,93.7,49.7,1,0,True,False,True
dici.ttl,15,12,80.0,True,,69,69,632,94.9,42.8,1,0,True,False,True
dicl.ttl,15,12,80.0,True,,8,21,188,93.1,31.0,1,0,True,True,True
diclvl.ttl,15,9,60.0,True,,0,0,197,0.0,0.0,1,0,False,True,True
dicm.ttl,15,12,80.0,True,,71,70,1038,100.0,52.5,1,0,False,True,True
dicob.ttl,15,12,80.0,True,,76,15,380,96.7,6.6,1,0,True,False,True
dicp.ttl,15,12,80.0,True,,24,39,336,98.4,52.4,1,0,True,False,True
dicstg.ttl,15,9,60.0,True,,0,0,163,0.0,0.0,1,0,False,True,True
dicu.ttl,15,8,53.3,True,,0,0,52,0.0,0.0,1,0,False,False,False
dicv.ttl,15,11,73.3,True,,28,30,311,94.8,74.1,0,0,True,False,True
dogont.ttl,15,13,86.7,True,,1083,96,13689,16.5,21.5,1,1,False,True,True
dor.ttl,15,7,46.7,True,,85,28,585,64.6,62.8,0,1,True,False,False
dot.ttl,15,13,86.7,True,,14,15,274,100.0,100.0,0,2,True,True,True
dstv.ttl,15,11,73.3,True,,81,54,657,91.9,91.9,0,0,False,True,True
dtc.ttl,15,9,60.0,True,,63,56,680,82.4,82.4,3,1,False,False,False
eco.ttl,15,12,80.0,True,,122,34,980,96.2,0.0,1,1,False,True,True
eepsa.ttl,15,11,73.3,True,,1,0,40,0.0,0.0,9,0,False,True,True
emmo.ttl,15,12,80.0,True,,0,0,49,0.0,0.0,1,1,True,True,True
esair.ttl,15,11,73.3,True,,4,2,249,66.7,66.7,1,2,False,True,True
facility.ttl,15,11,73.3,True,,24,18,182,97.6,52.4,1,0,True,True,True
ffdr.ttl,15,10,66.7,True,,166,114,2934,78.6,73.6,0,1,True,True,True
fm-ener.ttl,15,6,40.0,True,,71,23,479,0.0,1.1,0,0,False,False,False
fmo.ttl,15,12,80.0,True,,11,11,1155,100.0,100.0,0,1,True,True,True
fog.ttl,15,12,80.0,True,,1,130,991,100.0,99.2,0,1,False,True,True
fso.ttl,15,13,86.7,True,,14,22,301,91.7,86.1,0,2,True,True,True
geosparql.ttl,15,13,86.7,True,,6,54,804,0.0,0.0,0,0,True,True,True
gis4reno.ttl,15,5,33.3,True,,65,76,490,0.0,0.0,0,0,False,False,False
hbpo.ttl,15,5,33.3,True,,28,212,1358,0.0,77.5,0,1,False,False,False
hmo.ttl,15,13,86.7,True,,25,48,3513,90.4,90.4,0,1,True,True,True
icdd2ams.ttl,15,10,66.7,True,,0,2,23,100.0,100.0,3,0,True,False,True
idpo.ttl,15,12,80.0,True,,7,24,356,96.8,90.3,3,0,True,True,False
ifc4-add2.ttl,15,10,66.7,True,,1408,1585,34156,53.0,0.0,1,0,False,False,True
into.ttl,15,12,80.0,True,,11,19,176,100.0,100.0,0,1,True,True,False
io.ttl,15,9,60.0,True,,1,17,107,100.0,55.6,0,1,True,True,True
ioc.ttl,15,11,73.3,True,,27,51,677,94.9,93.6,0,1,False,True,True
iot.ttl,15,10,66.7,True,,12,17,108,93.1,72.4,0,0,True,True,True
isoprops.ttl,15,13,86.7,True,,6,60,1433,100.0,89.4,0,2,True,True,False
kpi.ttl,15,11,73.3,True,,17,39,493,100.0,87.5,0,1,True,True,True
lca-c-reno.ttl,15,9,60.0,True,,968,52,4334,0.0,0.0,0,0,False,True,True
loin.ttl,15,13,86.7,True,,47,62,1348,99.1,80.7,1,2,True,True,False
mat.ttl,15,10,66.7,True,,140,21,699,100.0,20.5,0,1,False,True,True
mdo.ttl,15,11,73.3,True,,13,13,150,57.7,53.8,0,1,True,True,True
mep.ttl,15,11,73.3,True,,484,1,3541,99.0,98.4,0,14,True,True,False
nen2660.ttl,15,6,40.0,True,,53,37,1647,0.0,0.0,7,0,False,False,False
ocqa.ttl,15,14,93.3,True,,46,38,368,51.2,23.8,6,2,True,True,True
ofo.ttl,15,10,66.7,True,,11,38,315,100.0,100.0,0,1,False,True,True
omg.ttl,15,11,73.3,True,,7,19,152,76.9,76.9,0,2,False,True,True
onem2m.ttl,15,6,40.0,True,,29,40,444,0.0,89.9,0,0,False,False,False
op.ttl,15,11,73.3,True,,68,63,1014,99.2,96.2,0,1,True,True,True
opm.ttl,15,11,73.3,True,,12,10,177,86.4,81.8,0,2,True,True,False
ph.ttl,15,4,26.7,True,,562,128,10038,99.9,99.9,0,0,False,False,False
process.ttl,15,10,66.7,True,,19,57,291,98.7,93.4,0,0,True,True,True
quality.ttl,15,10,66.7,True,,16,38,202,100.0,92.6,0,0,True,True,True
rdo.ttl,15,12,80.0,True,,38,42,1026,87.5,87.5,3,1,True,True,True
reloc.ttl,15,10,66.7,True,,2,46,378,100.0,100.0,0,2,True,True,True
reno-inst.ttl,15,9,60.0,True,,122,43,745,0.0,0.0,0,0,False,True,True
renp.ttl,15,10,66.7,True,,11,43,447,100.0,59.3,0,1,False,True,True
resource.ttl,15,10,66.7,True,,9,10,77,100.0,78.9,0,0,True,True,True
safety.ttl,15,10,66.7,True,,14,11,106,100.0,84.0,0,0,True,True,True
sao.ttl,15,0,0.0,False,"Parse failed: at line 261 of <>:
Bad syntax (Prefix ""xs:"" not bound) at ^ in:
""...b'amAnalysis ,\nsao:StreamData ,\nsao:StreamEvent ;\n\nrdfs:range '^b'xs:dateTimeStamp .\n\n\n\n###  http://purl.oclc.org/NET/UNIS/sao'...""",0,0,0,0.0,0.0,0,0,False,False,False
saref.ttl,15,14,93.3,True,,73,72,1324,68.3,68.3,0,1,True,True,True
saref4agri.ttl,15,15,100.0,True,,31,23,341,85.2,74.1,1,1,True,True,True
saref4auto.ttl,15,14,93.3,True,,57,14,3871,87.3,84.5,2,1,True,True,False
saref4bldg.ttl,15,15,100.0,True,,68,87,2203,98.1,98.1,1,1,True,True,True
saref4city.ttl,15,15,100.0,True,,26,27,322,96.2,90.6,1,1,True,True,True
saref4ehaw.ttl,15,14,93.3,True,,28,22,617,86.0,86.0,3,1,True,True,False
saref4ener.ttl,15,15,100.0,True,,102,173,2164,90.2,90.2,1,1,True,True,True
saref4envi.ttl,15,15,100.0,True,,102,34,1195,71.3,71.3,2,1,True,True,True
saref4grid.ttl,15,15,100.0,True,,46,72,858,94.9,90.7,1,1,True,True,True
saref4inma.ttl,15,15,100.0,True,,26,26,377,98.1,98.1,2,1,True,True,True
saref4lift.ttl,15,15,100.0,True,,28,29,608,93.0,93.0,3,1,True,True,True
saref4syst.ttl,15,13,86.7,True,,3,9,116,100.0,100.0,0,1,True,True,False
saref4watr.ttl,15,15,100.0,True,,59,26,706,89.4,82.4,3,1,True,True,True
saref4wear.ttl,15,15,100.0,True,,39,25,406,84.4,84.4,3,1,True,True,True
sbeo.ttl,15,13,86.7,True,,244,83,2253,83.5,83.5,0,1,False,True,True
sd.ttl,15,11,73.3,True,,10,16,189,100.0,100.0,0,1,True,True,True
seas.ttl,15,9,60.0,True,,0,0,69,0.0,0.0,43,0,False,True,False
sml.ttl,15,6,40.0,True,,53,37,1516,0.0,0.0,10,0,False,False,False
sosa.ttl,15,9,60.0,True,,16,23,327,92.3,92.3,0,1,True,False,False
ssn.ttl,15,12,80.0,True,,11,16,520,77.8,77.8,1,1,True,True,False
stg.ttl,15,9,60.0,True,,12,13,161,100.0,96.0,0,2,False,True,False
tempo.ttl,15,13,86.7,True,,28,46,831,82.4,50.0,1,3,True,True,False
th-actor.ttl,15,7,46.7,True,,60,21,535,0.0,25.9,1,1,False,False,False
th-building.ttl,15,0,0.0,False,Parse failed: maximum recursion depth exceeded,0,0,0,0.0,0.0,0,0,False,False,False
th-energy.ttl,15,8,53.3,True,,710,120,9047,47.7,44.8,1,1,False,True,False
th-process.ttl,15,8,53.3,True,,240,40,2691,0.0,22.9,1,1,False,True,False
th-sharedvoc.ttl,15,7,46.7,True,,37,5,227,0.0,59.5,0,1,False,True,False
th-weather.ttl,15,8,53.3,True,,223,37,2827,1.9,13.8,1,1,False,True,False
unocs.ttl,15,11,73.3,True,,405,393,3819,73.2,42.2,10,4,True,False,True
weat.ttl,15,9,60.0,True,,30,25,543,98.2,98.2,0,1,True,False,True
wgs84.ttl,15,5,33.3,True,,2,1,38,100.0,100.0,0,0,False,False,False
