ontology_filename,search_query,paper_id,title,authors,year,venue,citation_count,abstract,doi,url,is_open_access,fields_of_study
bot.ttl,DOI:10.24928/JC3-2017/0153,19121a2f38c0ec35423ab9ed2ddf65bad2f8c8e8,Proposing a Central AEC Ontology That Allows for Domain Specific Extensions,"M. H. Rasmussen, P. Pauwels, C. A. Hviid, J. Karlshøj",2017,,81,,10.24928/JC3-2017/0153,https://www.semanticscholar.org/paper/19121a2f38c0ec35423ab9ed2ddf65bad2f8c8e8,True,Computer Science
brick.ttl,Brick,1e9eccf09cca31446afa297642c9f5a486c75fbe,A new zirconium inorganic building brick forming metal organic frameworks with exceptional stability.,"Jasmina Hafizovic Cavka, S. Jakobsen, U. Olsbye, N. Guillou, C. Lamberti, S. Bordiga, K. Lillerud",2008,Journal of the American Chemical Society,5941,,10.1021/ja8057953,https://www.semanticscholar.org/paper/1e9eccf09cca31446afa297642c9f5a486c75fbe,False,"Chemistry, Medicine"
brick.ttl,Brick,7f6bce607b12bfa98c08f47d2fd295e46979c4f5,Facile fabrication of next-generation sustainable brick and mortar through geopolymerization of construction debris,"Hamed Rahimpour, Alireza Babaeian Amini, Fatemeh Sharifi, Ahmad Fahmi, Sahar Zinatloo-Ajabshir",2024,Scientific Reports,91,"Waste from construction and demolition (also known as CDW) is one of the most harmful environmental issues. This study's primary goal is to produce new mortar and brick materials from recycled concrete powder (RCP) and recycled brick powder (RBP), two of the most popular CDW. Geopolymeric mortar and brick samples were produced by passing RCP and RBP through sieve No. 50 (with sand filler if necessary) and combining them with an alkaline solution made of water glass (WG) and NaOH. In this study, the mixture was then cured for three days at 80 °C in an oven. The effects of filler, RBP amount, WG amount, and the concentration of NaOH alkaline solution on the samples’ strength were examined. Additionally, XRF and SEM/XRD tests were performed to verify the materials' composition and microstructure. The mechanical strength of the samples showed an increase with the increase of RCP values, so the brick sample with filler showed the highest compressive strength, measuring 59.53 MPa. The study's samples exhibited strong mechanical properties. Additionally, all of the bricks' water absorption fell within the standard range. In summary, according to different standards, both waste concrete and waste brick can be used to produce geopolymer materials especially bricks for construction and paving purposes.",10.1038/s41598-024-61688-x,https://www.semanticscholar.org/paper/7f6bce607b12bfa98c08f47d2fd295e46979c4f5,True,Medicine
brick.ttl,Brick,9022d6559568d9a0837687550c0851d548011e90,"Ultra-light MXene aerogel/wood-derived porous carbon composites with wall-like ""mortar/brick"" structures for electromagnetic interference shielding.","Chaobo Liang, Huaili Qiu, Ping Song, Xuetao Shi, Jie Kong, Junwei Gu",2020,Science Bulletin,451,"Renewable porous biochar and 2D MXene have attracted significant attention in high-end electromagnetic interference (EMI) shielding fields, due to unique orderly structures and excellent electrical conductivity (σ) value. In this work, the wood-derived porous carbon (WPC) skeleton from natural wood was performed as a template. And excellent conductive and ultra-light 3D MXene aerogel was then constructed to prepare the MXene aerogel/WPC composites, based on highly ordered honeycomb cells inner WPC as a microreactor. Higher carbonization temperature is more conducive to the graphitization degree of natural wood. MXene aerogel/WPC composites achieve the optimal EMI SE value of up to 71.3 dB at density as low as 0.197 g/cm3. Such wall-like ""mortar-brick"" structures (WPC skeleton as ""mortar"" and MXene aerogel as ""brick"") not only effectively solve the unstable structure problem of MXene aerogel networks, but also greatly prolong the transmission paths of the electromagnetic waves and dissipate the incident electromagnetic waves in the form of heat and electric energy, thereby exhibiting the superior EMI shielding performance. In addition, MXene aerogel/WPC composites also exhibit good anisotropic compressive strength, excellent thermal insulation and flame retardant properties. Such ultra-light, green and efficient multi-functional bio-carbon-based composites have great application potential in the high-end EMI shielding fields of aerospace and national defence industry, etc.",10.1016/j.scib.2020.02.009,https://www.semanticscholar.org/paper/9022d6559568d9a0837687550c0851d548011e90,False,"Medicine, Materials Science"
brick.ttl,Brick,0865b9ec6d6eb01828a7820e148f2fc6e60eb2c1,"Brick by Brick: The Origins, Development, and Future of Self-Determination Theory","Richard M. Ryan, E. Deci",2019,Advances in Motivation Science,436,"Abstract Self-determination theory is a broad and widely applied theory of motivation, personality development, and wellness. The theory began with a narrow focus on intrinsic motivation but has expanded over time to encompass both intrinsic and extrinsic motivations and spawned new perspectives on well-being, life-goals, relationship quality, vitality and depletion, and eudaimonia, among other topics. In this overview of SDT, we first discuss the value of broad theory for psychological science. We then describe the strategy behind SDT's development, and the unfolding of its core mini-theories and topical models, from early studies on intrinsic motivation to the enormous body of research being produced today by a global community of SDT scholars. Throughout we highlight evidence for the critical role of supports for autonomy, competence and relatedness in human development and thriving, and the strong practical and translational value of a functionally-focused, and empirically-supported, theoretical framework.",10.1016/BS.ADMS.2019.01.001,https://www.semanticscholar.org/paper/0865b9ec6d6eb01828a7820e148f2fc6e60eb2c1,False,Psychology
brick.ttl,Brick,bd27e712159ab6f24c757a288d67dbd54545f42a,The particle-size effect of waste clay brick powder on its pozzolanic activity and properties of blended cement,"Yasong Zhao, Jianming Gao, Chuanbei Liu, Xuemei Chen, Zhenhai Xu",2020,,300,"Abstract The manufacture of cement is considered as a high energy consumption and environmental pollution process, and it is necessary to figure out a way to reduce the consumption of cement in construction industry. The waste clay brick is a kind of construction waste with pozzolanic activity, which could be used to prepare blended cement after grinding. However, the particle size of clay brick powder (CBP) will influence its pozzolanic activity and properties of blended cement, which needs to be clarified. Therefore, in this study, the pozzolanic activity of CBP and properties of blended cement containing CBP were investigated. The results show that with the increase of grinding time, the CBP particles tend to be refined and spherical, which will increase the specific surface area and pozzolanic activity of CBP. The decrease of CBP particle size in blended cement paste can accelerate the early-age hydration and decrease the setting time since the ultrafine CBP could become the crystallization nucleus. The compressive strength of mortars with 30% CBP is 10%–35% lower than that without CBP, and the smaller the CBP particle size, the faster the compressive strength grows. Moreover, the hydration products and pore structure results also prove that the CBP with smaller particle size will consume more calcium hydroxide to react, which could make the microstructure denser and obtain stronger compressive strength growth at later ages. Meanwhile, the environmental impact and cost calculations indicate that the energy intensity and CO2 emissions of blended cement are obviously lower than Portland cement. It could be concluded that the pozzolanic activity of CBP will be enhanced with the decrease of particle size, and this research provided the reference for application of waste clay brick to produce green construction materials.",10.1016/j.jclepro.2019.118521,https://www.semanticscholar.org/paper/bd27e712159ab6f24c757a288d67dbd54545f42a,False,Materials Science
brick.ttl,Brick,8e6b361d0bd55ca83036e7595d7632ce65e9f053,Enhancing brick-and-mortar store shopping experience with an augmented reality shopping assistant application using personalized recommendations and explainable artificial intelligence,"Robert Zimmermann, Daniel Mora, Douglas Cirqueira, M. Helfert, Marija Bezbradica, Dirk Werth, Wolfgang J. Weitzl, René Riedl, A. Auinger",2022,Journal of Research in Interactive Marketing,85,"PurposeThe transition to omnichannel retail is the recognized future of retail, which uses digital technologies (e.g. augmented reality shopping assistants) to enhance the customer shopping experience. However, retailers struggle with the implementation of such technologies in brick-and-mortar stores. Against this background, the present study investigates the impact of a smartphone-based augmented reality shopping assistant application, which uses personalized recommendations and explainable artificial intelligence features on customer shopping experiences.Design/methodology/approachThe authors follow a design science research approach to develop a shopping assistant application artifact, evaluated by means of an online experiment (n = 252), providing both qualitative and quantitative data.FindingsResults indicate a positive impact of the augmented reality shopping assistant application on customers' perception of brick-and-mortar shopping experiences. Based on the empirical insights this study also identifies possible improvements of the artifact.Research limitations/implicationsThis study's assessment is limited to an online evaluation approach. Therefore, future studies should test actual usage of the technology in brick-and-mortar stores. Contrary to the suggestions of established theories (i.e. technology acceptance model, uses and gratification theory), this study shows that an increase of shopping experience does not always convert into an increase in the intention to purchase or to visit a brick-and-mortar store. Additionally, this study provides novel design principles and ideas for crafting augmented reality shopping assistant applications that can be used by future researchers to create advanced versions of such applications.Practical implicationsThis paper demonstrates that a shopping assistant artifact provides a good opportunity to enhance users' shopping experience on their path-to-purchase, as it can support customers by providing rich information (e.g. explainable recommendations) for decision-making along the customer shopping journey.Originality/valueThis paper shows that smartphone-based augmented reality shopping assistant applications have the potential to increase the competitive power of brick-and-mortar retailers.",10.1108/jrim-09-2021-0237,https://www.semanticscholar.org/paper/8e6b361d0bd55ca83036e7595d7632ce65e9f053,True,
brick.ttl,Brick,8c61ef1c016457f7050da26a299bde3902bf6583,"Kinetics, Isotherms, and Thermodynamic Modeling of the Adsorption of Phosphates from Model Wastewater Using Recycled Brick Waste","Uduakobong A. Edet, A. Ifelebuegu",2020,Processes,322,"Phosphates in wastewater at elevated concentrations cause eutrophication of water bodies and their removal from treated wastewater is essential before effluents are discharged to the environment. Phosphates are predominately removed during wastewater treatment by chemical precipitation which is usually expensive and has a significant environmental footprint. The purpose of this study was to investigate the effectiveness of waste recycled bricks as adsorbent for phosphate removal during wastewater treatment. The kinetics, isotherms, and thermodynamics of adsorption were investigated to establish the mechanisms of adsorption. The results showed that adsorption capacities increased with an increase in contact time, adsorbent dosage, and initial phosphate concentration. The kinetic study indicated that adsorption was governed by several mechanisms with various processes dominating different stages of the adsorption. The adsorption process was better represented by the pseudo-second-order kinetics and the Langmuir isotherm adequately described the adsorption of phosphates onto brick particles with a maximum adsorption capacity of 5.35 mg/g. The thermodynamic studies showed that the adsorption process was exothermic and proceeded spontaneously, demonstrating that waste bricks can be used as a sustainable alternative for the effective removal of phosphates from wastewater.",10.3390/pr8060665,https://www.semanticscholar.org/paper/8c61ef1c016457f7050da26a299bde3902bf6583,True,Chemistry
brick.ttl,Brick,7891c435a6ccee16b466821f223134de0521f934,"Bioinspired Ultrasensitive and Stretchable MXene-Based Strain Sensor via Nacre-Mimetic Microscale ""Brick-and-Mortar"" Architecture.","Xinlei Shi, Huike Wang, Xueting Xie, Qingwen Xue, Jingyu Zhang, Siqi Kang, Conghui Wang, Jiajie Liang, Yongsheng Chen",2019,ACS Nano,373,"The development of wearable strain sensors with simultaneous large stretchability (strain >55%) and high sensitivity (gauge factor >100) remains a grand challenge to this day. Drawing on inspiration from nature, nacre has demonstrated outstanding mechanical properties, especially combining high strength and toughness, which is due in part to its delicate hierarchical layered architecture with rich interfacial interactions. We demonstrate that strain sensors based on this nacre-mimetic microscale ""brick-and-mortar"" architecture can simultaneously achieve ultrahigh sensitivity and large stretchability while performing well in linearity, reliability, long-term durability, and monotonicity. The bioinspired sensor demonstrated a gauge factor >200 over a range of working strains up to 83% and achieved a high gauge factor exceeding 8700 in the strain region of 76-83%. This successful combination of high sensitivity and large stretchability is attributed to (1) the microscale hierarchical architecture derived from the amalgamation of 2D titanium carbide (MXene) Ti3C2T x/1D silver nanowire ""brick"" and poly(dopamine)/Ni2+ ""mortar"" and (2) the synergistic toughing effects from interfacial interactions of hydrogen and coordination bonding, layer slippage, and molecular chain stretching. The synergistic behavior of the ""brick"" and ""mortar"" allows for controlled crack generation for high sensitivity but can also dissipate considerable loading energy to promote the stepwise propagation of cracks while stretching, guaranteeing the significant comprehensive sensing performance. Moreover, this bioinspired strain sensor is employed to monitor human activities under different motion states to demonstrate its feasibility for wearable, full-spectrum human health and motion monitoring systems.",10.1021/acsnano.8b07805,https://www.semanticscholar.org/paper/7891c435a6ccee16b466821f223134de0521f934,False,"Medicine, Materials Science"
brick.ttl,Brick,c065a9a7f452eb1f612195b9911649a984f51083,Research progress on recycled clay brick waste as an alternative to cement for sustainable construction materials,"Ziming He, A. Shen, Hansong Wu, Wenzhen Wang, Lusheng Wang, Chao Yao, Jinhua Wu",2021,,126,"Abstract Brick waste is a major part of the solid waste generated by construction and demolition activities around the world, and its disposal consumes land and pollutes the environment. At the same time, cement is the main raw material in cement-based materials. Cement production consumes resources and produces greenhouse gases, so is also not environmentally friendly. In this context, grinding brick waste into recycled brick powder (RBP) and using it instead of cement to produce sustainable construction materials is considered a feasible method. Therefore, based on the existing research, this paper reviews the fresh, mechanical, shrinkage, durability and microstructural properties of cement-based materials when RBP partially replaces Portland cement. The literature shows that RBP is rich in SiO2, Al2O3, Fe2O3 and has pozzolanic activity. The workability, mechanical and durability properties of cement-based materials can be improved to a certain extent by adding an appropriate amount of RBP (5%-15%). It is therefore considered a potential raw material for replacing Portland cement in cement-based materials. The utilization of RBP not only saves a large amount of land occupied by piled brick waste but also reduces the dependence of the concrete industry on Portland cement. It can guarantee the sustainability of construction materials and promote prosperity worldwide.",10.1016/J.CONBUILDMAT.2020.122113,https://www.semanticscholar.org/paper/c065a9a7f452eb1f612195b9911649a984f51083,False,Environmental Science
